ID,RollNumber,Name,Age,Course,Address,PhoneNumber,FatherName,MotherName,Income,sem 1,sem 2,sem 3,sem 4,Semester Predicted GPA,Project1,Project2,Project3,Project4,Project1_Status,Project2_Status,Project3_Status,Project4_Status,Project Predicted GPA,Aptitude1,Aptitude2,Aptitude3,Aptitude4,Aptitude5,Aptitude6,Aptitude7,Aptitude8,Aptitude9,Aptitude10,Aptitude11,Aptitude12,Communication1,Communication2,Communication3,Communication4,Communication5,Communication6,Communication7,Communication8,Communication9,Communication10,Communication11,Communication12,LogicalTest1,LogicalTest2,LogicalTest3,LogicalTest4,LogicalTest5,LogicalTest6,LogicalTest7,LogicalTest8,LogicalTest9,LogicalTest10,LogicalTest11,LogicalTest12
795a5142-1736-43e2-be6c-b310745153f8,1,John,19,EEE,"059 Kevin Road
West Tabithaport, AS 66608",001-733-394-1756x137,Derek Brown,Paula Dorsey,302179.0,9.0,9.0,6.24,8.66,8.118125,40.0,30.0,40.0,20.0,On Time,On Time,Late,On Time,8.794374999999999,81,78,29,85,91,87,89,49,98,71,94,88,76,79,44,82,92,90,82,88,71,86,84,94,72,74,87,48,89,80,92,99,76,95,48,72
e958a631-6bc0-4584-9eeb-6fad05496df4,2,Mr. Joel Rush,22,MECH,"0808 Shawn Meadow
Wanghaven, KS 61878",+1-463-862-5195x724,Nicholas Shields,Natalie Huang,713746,4.41,7.86,8.02,7.89,7.095625,50,30,80,30,Late,On Time,Late,Late,67.99375,75,98,98,83,80,81,1,87,75,77,70,83,93,74,21,89,98,34,75,88,82,86,76,84,76,98,91,23,80,86,31,71,99,71,87,100
89f9cfb6-d076-4f30-9c8c-fffcd2e44a5c,3,Lindsay Burns,23,CIVIL,"11487 Michelle Highway
New Jonathan, MI 12130",+1-873-763-4891x518,Joseph Murray,Tricia Williams,647721,0.2,4.24,2.33,0.72,4.905625,80,40,80,60,On Time,On Time,On Time,Late,72.6125,92,95,94,91,96,80,96,84,82,82,96,93,84,81,10,78,76,95,75,80,90,75,92,79,92,48,93,88,71,75,44,96,73,13,80,76
f52c914f-b64f-48c7-8c3d-7ff9c8bc322e,4,Eric Payne,23,CIVIL,"435 Conrad Wall
Whitefort, DE 99056",001-840-839-7054,Thomas Holloway,Anne Garcia,94026,7.38,8.33,9.64,1.79,6.55125,60,40,70,50,On Time,Late,Late,On Time,67.40625,80,83,19,29,83,77,70,98,76,98,99,99,91,99,21,78,24,39,36,83,87,97,98,7,73,88,87,89,91,72,75,90,98,77,90,73
0661d074-08b4-4a1e-a70b-67acf6b97b2c,5,Anthony Taylor,22,ECE,"46446 Madison Loaf Suite 460
Smithberg, IA 71852",(944)965-7055x46053,Frank Anderson,Karen Johnson,332943,5.3,2.27,8,9.03,7.10625,70,80,30,40,Late,On Time,On Time,On Time,67.40625,72,80,98,74,71,9,13,39,22,83,93,76,85,98,94,91,91,92,85,90,84,79,92,72,92,83,72,5,93,77,12,85,99,96,93,92
7dcc3a9d-b94a-430f-b466-0b73dfaab5fc,6,Shirley Nichols,22,CSE,"88448 Brown Shore
East Michael, MA 88573",992-662-3189,Logan Atkins,Meghan Key,915134,0.22,9.48,3.86,2.54,6.009375,30,60,40,50,Late,Late,On Time,Late,56.01875,78,96,73,90,71,36,91,13,91,71,42,87,39,99,81,89,96,48,84,76,86,73,2,82,37,91,82,78,79,10,95,47,95,7,30,97
4295a5bc-a01a-411a-bbca-318868e9546d,7,Miss Jessica Garza MD,22,CSE,"14873 Mckee Springs
Richardfort, GA 35165",+1-548-364-4980x52893,Isaac Rice,Melanie Santiago,93886,9.83,2.65,3.12,4.58,6.5775,30,50,70,30,Late,Late,On Time,On Time,56.01875,73,12,93,84,47,71,86,71,97,89,97,17,84,89,83,77,90,72,96,95,86,77,85,72,80,71,21,92,89,10,73,30,42,20,95,25
2bd92319-189c-437e-a821-3ee204678b8c,8,Sarah Hess,22,CIVIL,"0496 Timothy Lodge Apt. 332
North David, SD 59744",(548)879-4073x678,Christopher Hughes,Sheryl Davis,427727,9.14,7,5.22,0.43,6.16375,40,70,60,70,Late,Late,On Time,Late,63.475,73,80,37,84,90,33,78,77,85,96,88,77,93,93,75,100,78,31,79,98,5,78,100,96,76,90,76,85,11,80,80,96,99,95,71,76
521123da-1033-49f5-9b2e-619bd6e25264,9,Shannon Gonzales,25,EEE,"66454 Caldwell Pines Apt. 114
Cantrellview, MD 16765",001-217-652-1139x1178,Christopher Mendoza,Jill Green,276239,3.77,7.9,5.39,2.98,6.4,60,80,80,70,Late,Late,Late,Late,80.6375,80,90,84,93,47,75,100,40,81,70,89,94,71,78,76,83,89,87,99,73,81,96,76,93,91,38,6,88,74,100,79,90,96,91,85,31
0beb7591-40ab-4332-b46d-55094e2a85df,10,Steven Elliott,18,CIVIL,"877 Kimberly Course
Veronicahaven, CA 83055",001-576-737-8010x1246,Andrew Hall,Kristi Wright,981710,8.27,8.25,0.58,0.83,6.6575,30,70,70,80,Late,On Time,On Time,Late,73.05,89,99,87,22,100,25,19,72,78,72,83,70,92,80,80,87,35,35,83,46,99,100,79,75,94,91,98,87,73,98,78,85,86,75,42,6
319fed0c-34aa-4688-894b-1cabeb00943c,11,Kathleen Schmidt,21,ECE,"3823 Smith Spurs
Port Kristin, RI 67046",211-712-0827x796,Kyle Cox,Kristina Humphrey,874301,8.52,4.34,3.69,1.01,6.6075,28,50,40,30,Late,Late,On Time,Late,59.53125,73,97,74,83,90,86,97,81,29,74,80,96,74,2,39,94,81,26,97,5,73,12,91,72,92,81,46,89,50,73,95,85,81,86,30,89
0ece0a34-edff-4913-bd33-3d0b5b4bd691,12,Sabrina Taylor,20,CSBS,"3745 Robinson Fords Apt. 425
Gardnerside, UT 66442",(330)937-1657x8577,Gabriel Greer,Deborah Sherman,945160,0.84,2.91,8.71,9.51,6.2075,70,70,40,50,On Time,On Time,Late,On Time,67.33125,94,85,90,79,84,92,72,88,79,31,93,30,86,99,47,89,11,78,92,71,74,82,86,97,1,86,81,7,83,98,8,79,77,95,81,94
f4f8e007-58a6-4bd9-b55e-66720ce81e5d,13,Sean Johnson,20,CIVIL,"520 Susan Estates Suite 740
Lake Stacyburgh, MP 62786",864.724.7387x90131,Carlos Ellis,Isabella Clark,404683,7.5,8.98,7.98,3.45,7.66125,50,60,70,60,On Time,Late,Late,On Time,63.475,29,79,96,43,80,73,83,77,85,73,90,96,70,93,77,93,77,75,72,87,78,81,84,87,84,92,94,25,95,90,73,84,76,80,88,84
