ID,RollNumber,Name,Age,Course,Address,PhoneNumber,FatherName,MotherName,Income,sem 1,sem 2,sem 3,sem 4,Semester Predicted GPA,Project1,Project2,Project3,Project4,Project1_Status,Project2_Status,Project3_Status,Project4_Status,Project Predicted GPA,Aptitude1,Aptitude2,Aptitude3,Aptitude4,Aptitude5,Aptitude6,Aptitude7,Aptitude8,Aptitude9,Aptitude10,Aptitude11,Aptitude12,Communication1,Communication2,Communication3,Communication4,Communication5,Communication6,Communication7,Communication8,Communication9,Communication10,Communication11,Communication12,LogicalTest1,LogicalTest2,LogicalTest3,LogicalTest4,LogicalTest5,LogicalTest6,LogicalTest7,LogicalTest8,LogicalTest9,LogicalTest10,LogicalTest11,LogicalTest12,Average Score,Rank
354aa775-7605-476a-8680-3c404f6aba6d,457,Monica Hall,24,EEE,"8671 James Spur
Tarahaven, DC 28468",001-480-238-6274x9243,Victoria Reyes,Corey Ortega,52210.31,8.59,5.27,7.14,8.57,8.54,43,65,87,92,Late,On Time,On Time,Late,74.19,33,80,99,32,83,95,60,36,70,89,75,92,40,45,80,97,79,93,75,31,97,44,41,99,64,89,44,72,33,41,57,96,95,53,35,97,74.146,1
f093d409-11b9-40bc-a304-7859e41057e6,445,Steven Turner,24,CIVIL,"005 Jackson Key Apt. 576
Tranton, WV 91628",454-361-8660x592,Sue Coleman,Micheal Torres,78065.48,8.71,6.56,5.27,7.41,6.91,40,74,78,81,On Time,Late,On Time,Late,82.87,93,60,32,57,32,44,89,74,36,33,36,99,71,39,62,84,97,65,67,74,75,46,68,88,64,46,98,73,77,92,52,50,62,49,42,93,73.95599999999999,2
74374cfe-1962-4366-a24b-092dc67e0f3b,328,Sarah Gonzalez,24,CIVIL,"PSC 1545, Box 5575
APO AP 43742",+1-721-394-5762,Jody Rice,Amy Martin,89548.09,5.01,7.25,8.36,5.14,9.93,41,41,75,59,Late,Late,On Time,Late,91.76,47,87,77,81,85,90,68,99,56,81,86,91,55,53,88,59,34,47,46,61,66,42,71,76,88,72,61,95,59,57,81,99,72,67,65,97,73.138,3
0a9e2adb-fd26-46dc-97f0-0b26bb3d6f4d,132,Pamela Torres,24,MECH,"14049 Brian Ports Apt. 313
East Melissa, FM 52663",(916)258-2306x59971,Timothy Reid,Robert Kane,94129.57,9.72,4.01,6.68,8.43,7.88,92,34,47,89,On Time,Late,Late,On Time,97.07,80,33,35,35,56,74,52,87,43,99,61,97,63,58,51,98,94,100,92,86,74,96,85,98,58,74,88,56,35,38,39,100,100,71,59,65,72.99,4
adbd8393-771f-468a-ae81-967238b5d6eb,271,Travis Mitchell,23,MECH,"6134 Ruiz Bypass
Lake Glennstad, OH 34677",697.409.2472x6361,Natalie Henry,Brandi Burnett,55556.8,4.77,6.72,4.27,5.51,9.24,31,91,98,88,Late,Late,On Time,On Time,91.5,53,94,30,92,60,39,96,84,51,84,93,97,35,83,51,51,32,44,39,96,84,76,54,87,61,98,96,45,52,47,57,100,95,64,62,79,72.748,5
0ac299d5-9277-459f-9a02-c840888403c2,351,Jennifer Walls,23,CIVIL,"4731 Daniel Mountains
Port Ann, OR 98710",724-784-5539x7115,Charles Houston,Gail Buck,82879.48,9.05,5.55,4.85,9.92,6.21,64,90,72,65,On Time,On Time,Late,Late,88.36,56,77,79,44,67,60,67,47,84,65,99,79,91,70,77,44,69,80,67,83,37,94,54,95,34,76,45,43,51,36,99,72,63,41,38,95,72.714,6
c5eb461b-3dd1-4db9-be95-2710e06af1a3,352,Jeremy Bradley,22,CIVIL,"534 Floyd Street Suite 907
Jessefurt, AR 48541",359-546-6553x6326,Heather Clayton,Manuel Estrada,53322.73,8.69,5.41,4.47,5.38,5.14,60,39,60,72,Late,Late,Late,On Time,94.05,53,87,37,81,48,100,59,68,50,46,39,91,92,63,65,32,81,38,77,80,57,60,71,91,31,39,84,91,54,63,30,58,41,64,73,76,71.438,7
50bbc700-3812-43e0-9093-f93395cb754f,202,Matthew Bowen,23,ECE,"927 Abigail Lodge
North Tyler, PA 48107",509-524-3700x55438,James Bailey,Christine Hinton,73936.01,6.65,5.48,8.1,9.76,6.47,78,58,83,93,Late,Late,On Time,Late,82.03,51,72,41,64,41,48,42,47,87,52,36,99,31,63,66,87,40,32,61,89,50,66,53,87,86,96,70,34,82,76,83,50,100,70,51,82,71.3,8
bbdbc12a-a0ad-4533-a06d-1e6124389a7b,500,Timothy Blair,20,ECE,"96914 Baxter Drive Apt. 877
Port Jeremy, OK 52545",001-442-891-9504x225,Meagan Owens,Michelle Lewis,71711.78,5.43,8.0,5.76,7.55,7.84,96,77,31,33,On Time,On Time,On Time,On Time,77.09,54,46,74,72,44,93,78,74,66,63,68,100,99,53,58,89,61,82,53,35,72,95,73,84,62,73,31,47,99,88,59,97,35,62,77,81,69.986,9
92d09c0a-5660-4174-abc3-8ccecae6c9a0,228,Allison Jackson,23,ECE,"0403 Wright Manors Suite 791
New Kenneth, AR 16619",674-634-2638,Mikayla Wright,Tiffany Knapp,65472.8,5.89,6.65,8.8,6.06,8.2,66,58,98,73,Late,On Time,On Time,On Time,74.66,82,43,33,43,55,52,43,75,84,63,39,98,43,77,44,97,82,51,55,76,77,82,100,95,62,30,34,45,91,47,66,42,45,39,39,74,69.97200000000001,10
11805924-73b8-48b4-87da-1652fbc10634,135,Lori Patel,22,MECH,"8469 Harris Ranch Apt. 291
East Evelyn, SD 94857",955-837-7326x44674,Patricia Diaz,Paul Patterson,93408.9,4.97,9.14,8.35,5.69,9.77,89,70,36,95,Late,On Time,On Time,Late,86.15,96,58,81,35,47,74,89,81,77,59,79,86,71,39,90,75,82,61,97,66,62,90,92,76,64,43,31,51,94,44,55,74,91,44,56,89,69.384,11
62ed6de4-a180-4532-9879-8c849ac8ded8,416,Rebecca Cameron,25,CIVIL,"Unit 5436 Box 3030
DPO AE 74924",373.482.7458x43975,Olivia Nguyen,Matthew Ford MD,92359.28,4.83,7.42,8.11,7.4,5.72,38,88,42,62,On Time,On Time,On Time,Late,96.8,83,33,81,34,100,66,94,35,45,100,33,92,95,64,56,98,48,52,62,64,37,63,34,57,100,35,76,57,54,68,37,43,100,66,45,92,68.704,12
ed1801ae-73a8-4e86-9f1c-8101f8a94d09,368,Danielle Wilson,22,CSE,"5801 Mitchell Courts Suite 275
South Zachary, MT 03209",(375)886-2520x290,Jake Gutierrez,Christine Acosta,62875.68,7.83,8.04,5.48,5.22,7.13,46,44,40,43,Late,Late,On Time,On Time,74.77,35,89,40,83,59,88,47,54,50,61,86,99,100,54,83,32,81,87,86,53,43,69,45,89,58,80,81,45,65,30,93,43,88,91,36,72,68.38,13
